t_sec,kind,file,mode,style,factor,type,loc1,loc2,sigma,clean_value,bad_value,error,error_sigmas,pos
22.000,pmu,pmu/pmu_t00022_00.dat,transient,scale,17.107121371905855,Iang,17,18,0.000364,0.35756,6.116822317738658,5.759262317738657,15822.14922455675,36
23.000,pmu,pmu/pmu_t00023_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.59111,-0.59111,-1.18222,-7726.928104575163,24
24.000,pmu,pmu/pmu_t00024_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.58515,-0.58515,-1.1703,-7649.019607843136,23
25.000,pmu,pmu/pmu_t00025_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.57867,-0.57867,-1.15734,-7564.313725490196,24
25.000,pmu,pmu/pmu_t00025_00.dat,transient,scale,-14.68777630292044,Vang,20,,0.000103,-0.07692,1.1297837532206403,1.2067037532206404,11715.570419617869,13
25.000,scada,scada/scada_t00025_00.dat,persistent,negate,-1.0,Pflow,9,13,0.019328,0.45188,-0.45188,-0.90376,-46.7591059602649,45
26.000,pmu,pmu/pmu_t00026_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.57152,-0.57152,-1.14304,-7470.849673202614,23
27.000,pmu,pmu/pmu_t00027_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.56291,-0.56291,-1.12582,-7358.300653594772,21
27.000,pmu,pmu/pmu_t00027_00.dat,transient,scale,-23.352221310504596,Iang,17,18,0.000364,0.36363,-8.491568235138786,-8.855198235138786,-24327.467678952708,36
28.000,pmu,pmu/pmu_t00028_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.55598,-0.55598,-1.11196,-7267.712418300654,24
29.000,pmu,pmu/pmu_t00029_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.54974,-0.54974,-1.09948,-7186.143790849673,21
29.000,pmu,pmu/pmu_t00029_00.dat,transient,scale,-27.875100403179175,Iang,2,1,0.000359,2.57727,-71.84166001610159,-74.41893001610158,-207295.0696827342,26
30.000,pmu,pmu/pmu_t00030_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.54509,-0.54509,-1.09018,-7125.359477124182,21
30.000,scada,scada/scada_t00030_00.dat,persistent,negate,-1.0,Pflow,9,13,0.019328,0.43939,-0.43939,-0.87878,-45.466680463576154,45
31.000,pmu,pmu/pmu_t00031_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.53649,-0.53649,-1.07298,-7012.941176470588,24
32.000,pmu,pmu/pmu_t00032_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.53019,-0.53019,-1.06038,-6930.588235294118,22
33.000,pmu,pmu/pmu_t00033_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.5285,-0.5285,-1.057,-6908.496732026143,22
33.000,pmu,pmu/pmu_t00033_00.dat,transient,negate,-1.0,Iang,14,7,0.000131,-0.11534,0.11534,0.23068,1760.916030534351,33
34.000,pmu,pmu/pmu_t00034_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.52233,-0.52233,-1.04466,-6827.843137254901,20
34.000,pmu,pmu/pmu_t00034_00.dat,transient,scale,27.388968530392887,Imag,5,10,0.000303,0.86903,23.80183532196733,22.932805321967333,75685.82614510671,15
35.000,pmu,pmu/pmu_t00035_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.51666,-0.51666,-1.03332,-6753.725490196079,24
35.000,pmu,pmu/pmu_t00035_00.dat,transient,negate,-1.0,Vang,14,,9.5e-05,-0.07335,0.07335,0.1467,1544.2105263157894,11
35.000,scada,scada/scada_t00035_00.dat,persistent,negate,-1.0,Pflow,9,13,0.019328,0.43682,-0.43682,-0.87364,-45.200745033112575,45
36.000,pmu,pmu/pmu_t00036_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.51115,-0.51115,-1.0223,-6681.699346405228,23
36.000,pmu,pmu/pmu_t00036_00.dat,transient,scale,16.392699491336792,Vmag,8,,0.000174,1.01476,16.634655735828925,15.619895735828925,89769.51572315473,2
37.000,pmu,pmu/pmu_t00037_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.50067,-0.50067,-1.00134,-6544.7058823529405,23
37.000,pmu,pmu/pmu_t00037_00.dat,transient,negate,-1.0,Imag,2,1,0.000398,0.36761,-0.36761,-0.73522,-1847.2864321608038,13
38.000,pmu,pmu/pmu_t00038_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.49538,-0.49538,-0.99076,-6475.555555555555,23
39.000,pmu,pmu/pmu_t00039_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.48543,-0.48543,-0.97086,-6345.490196078431,21
40.000,pmu,pmu/pmu_t00040_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.48402,-0.48402,-0.96804,-6327.058823529412,24
40.000,scada,scada/scada_t00040_00.dat,persistent,negate,-1.0,Pflow,9,13,0.019328,0.38664,-0.38664,-0.77328,-40.00827814569536,45
41.000,pmu,pmu/pmu_t00041_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.48504,-0.48504,-0.97008,-6340.392156862746,24
41.000,pmu,pmu/pmu_t00041_00.dat,transient,scale,29.668855491099375,Imag,2,1,0.000398,0.35866,10.641031710437701,10.282371710437701,25835.104800094723,14
42.000,pmu,pmu/pmu_t00042_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.48146,-0.48146,-0.96292,-6293.59477124183,24
42.000,pmu,pmu/pmu_t00042_00.dat,transient,scale,17.99710857009256,Imag,2,4,0.000408,1.30833,23.546157055509198,22.237827055509197,54504.47807722842,15
43.000,pmu,pmu/pmu_t00043_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.48371,-0.48371,-0.96742,-6323.006535947712,24
43.000,pmu,pmu/pmu_t00043_00.dat,transient,scale,11.868604466366776,Iang,14,7,0.000131,-0.11816,-1.4023943037458984,-1.2842343037458983,-9803.315295770215,36
44.000,pmu,pmu/pmu_t00044_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.47965,-0.47965,-0.9593,-6269.934640522876,23
45.000,pmu,pmu/pmu_t00045_00.dat,persistent,negate,-1.0,Imag,20,18,0.000153,0.47606,-0.47606,-0.95212,-6223.006535947712,24
45.000,pmu,pmu/pmu_t00045_00.dat,transient,scale,-24.522263710575473,Iang,14,20,0.0002,-0.98915,24.256197149315728,25.245347149315727,126226.73574657863,43
45.000,scada,scada/scada_t00045_00.dat,persistent,negate,-1.0,Pflow,9,13,0.019328,0.37896,-0.37896,-0.75792,-39.2135761589404,45
45.000,scada,scada/scada_t00045_00.dat,transient,negate,-1.0,Pinj,7,,0.019117,-0.51417,0.51417,1.02834,53.79191295705394,24
