t_sec,lambda,pf_converged,pf_max_mismatch,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,Vang_rad1,Vang_rad2,Vang_rad3,Vang_rad4,Vang_rad5,Vang_rad6,Vang_rad7,Vang_rad8,Vang_rad9,Vang_rad10,Vang_rad11,Vang_rad12,Vang_rad13,Vang_rad14,Vang_rad15,Vang_rad16,Vang_rad17,Vang_rad18,Vang_rad19,Vang_rad20
10.000,1.10507,1,8.531e-12,1.060000,1.030000,0.990296,0.951848,1.042000,1.025000,1.037000,1.001815,0.952894,0.940392,0.976844,1.047000,1.018626,1.043000,1.005614,0.984571,1.009260,1.024527,0.979315,0.991987,0.000000,-0.054338,-0.147273,-0.123840,-0.099598,-0.022831,-0.122488,-0.140238,-0.022948,-0.202494,-0.178318,-0.067993,-0.081284,-0.088336,-0.045954,-0.216483,-0.068693,-0.131591,-0.056229,-0.081317
11.000,1.10999,1,1.952e-11,1.060000,1.030000,0.989680,0.951342,1.042000,1.025000,1.037000,1.001413,0.952153,0.939337,0.976538,1.047000,1.018192,1.043000,1.005436,0.984312,1.009062,1.024482,0.979083,0.991760,0.000000,-0.054616,-0.148020,-0.124458,-0.100159,-0.023076,-0.123240,-0.140910,-0.023200,-0.203637,-0.179320,-0.068368,-0.081865,-0.088960,-0.046383,-0.217580,-0.069234,-0.132433,-0.056625,-0.081918
12.000,1.11719,1,1.044e-10,1.060000,1.030000,0.988744,0.950567,1.042000,1.025000,1.037000,1.000830,0.951024,0.937846,0.976090,1.047000,1.017502,1.043000,1.005170,0.983915,1.008745,1.024387,0.978756,0.991414,0.000000,-0.055053,-0.149161,-0.125418,-0.100826,-0.023461,-0.124082,-0.141889,-0.023585,-0.205126,-0.180809,-0.068972,-0.082724,-0.089587,-0.046719,-0.219278,-0.069692,-0.133335,-0.057223,-0.082492
13.000,1.12023,1,2.850e-12,1.060000,1.030000,0.988365,0.950249,1.042000,1.025000,1.037000,1.000596,0.950565,0.937170,0.975912,1.047000,1.017235,1.043000,1.005052,0.983751,1.008607,1.024343,0.978616,0.991279,0.000000,-0.055237,-0.149628,-0.125822,-0.101057,-0.023632,-0.124341,-0.142282,-0.023760,-0.205730,-0.181419,-0.069238,-0.083105,-0.089742,-0.046746,-0.219995,-0.069765,-0.133595,-0.057485,-0.082625
14.000,1.12374,1,4.237e-12,1.060000,1.030000,0.987945,0.949907,1.042000,1.025000,1.037000,1.000303,0.950041,0.936408,0.975686,1.047000,1.016939,1.043000,1.004927,0.983579,1.008456,1.024301,0.978436,0.991106,0.000000,-0.055417,-0.150137,-0.126217,-0.101447,-0.023804,-0.124857,-0.142770,-0.023941,-0.206539,-0.182147,-0.069465,-0.083530,-0.090172,-0.047039,-0.220680,-0.070120,-0.134165,-0.057775,-0.083030
15.000,1.12504,1,1.363e-13,1.060000,1.030000,0.987766,0.949755,1.042000,1.025000,1.037000,1.000169,0.949870,0.936160,0.975615,1.047000,1.016846,1.043000,1.004887,0.983501,1.008416,1.024294,0.978391,0.991035,0.000000,-0.055495,-0.150340,-0.126387,-0.101654,-0.023833,-0.125165,-0.142992,-0.023975,-0.206883,-0.182350,-0.069537,-0.083646,-0.090461,-0.047284,-0.220971,-0.070409,-0.134521,-0.057833,-0.083312
16.000,1.11813,1,8.856e-11,1.060000,1.030000,0.988663,0.950475,1.042000,1.025000,1.037000,1.000721,0.950991,0.937606,0.976031,1.047000,1.017522,1.043000,1.005140,0.983872,1.008732,1.024395,0.978712,0.991380,0.000000,-0.055083,-0.149251,-0.125486,-0.101012,-0.023471,-0.124355,-0.142067,-0.023608,-0.205444,-0.180964,-0.068971,-0.082799,-0.089850,-0.046949,-0.219373,-0.069977,-0.133658,-0.057262,-0.082761
17.000,1.11982,1,5.292e-13,1.060000,1.030000,0.988418,0.950331,1.042000,1.025000,1.037000,1.000591,0.950818,0.937146,0.975934,1.047000,1.017456,1.043000,1.005078,0.983796,1.008669,1.024371,0.978623,0.991290,0.000000,-0.055171,-0.149539,-0.125673,-0.101225,-0.023553,-0.124628,-0.142283,-0.023705,-0.205910,-0.181286,-0.069077,-0.083004,-0.090081,-0.047113,-0.219704,-0.070186,-0.133950,-0.057402,-0.082975
18.000,1.11401,1,3.418e-11,1.060000,1.030000,0.989124,0.950931,1.042000,1.025000,1.037000,1.001045,0.951696,0.938390,0.976297,1.047000,1.017954,1.043000,1.005301,0.984100,1.008918,1.024437,0.978911,0.991566,0.000000,-0.054849,-0.148673,-0.124955,-0.100615,-0.023238,-0.123832,-0.141524,-0.023376,-0.204615,-0.180075,-0.068624,-0.082271,-0.089440,-0.046716,-0.218437,-0.069668,-0.133072,-0.056899,-0.082370
19.000,1.10751,1,5.877e-11,1.060000,1.030000,0.989934,0.951595,1.042000,1.025000,1.037000,1.001563,0.952679,0.939855,0.976696,1.047000,1.018508,1.043000,1.005547,0.984437,1.009182,1.024510,0.979206,0.991876,0.000000,-0.054489,-0.147692,-0.124160,-0.099906,-0.022916,-0.122910,-0.140656,-0.023038,-0.203098,-0.178768,-0.068148,-0.081477,-0.088690,-0.046235,-0.217042,-0.069037,-0.132061,-0.056385,-0.081663
20.000,1.10438,1,3.100e-12,1.060000,1.030000,0.990323,0.951921,1.042000,1.025000,1.037000,1.001793,0.953127,0.940548,0.976897,1.047000,1.018767,1.043000,1.005664,0.984601,1.009296,1.024534,0.979346,0.992025,0.000000,-0.054324,-0.147220,-0.123783,-0.099498,-0.022755,-0.122347,-0.140271,-0.022871,-0.202308,-0.178111,-0.067919,-0.081108,-0.088195,-0.045867,-0.216377,-0.068578,-0.131423,-0.056132,-0.081182
21.000,1.09457,1,3.017e-10,1.060000,1.030000,0.991544,0.952944,1.042000,1.025000,1.037000,1.002599,0.954643,0.942648,0.977488,1.047000,1.019660,1.043000,1.006025,0.985114,1.009712,1.024652,0.979801,0.992486,0.000000,-0.053773,-0.145744,-0.122580,-0.098528,-0.022288,-0.121111,-0.138920,-0.022394,-0.200179,-0.176177,-0.067220,-0.079967,-0.087237,-0.045306,-0.214294,-0.067830,-0.130083,-0.055370,-0.080289
22.000,1.08796,1,7.620e-11,1.060000,1.030000,0.992412,0.953604,1.042000,1.025000,1.037000,1.003125,0.955707,0.944072,0.977866,1.047000,1.020295,1.043000,1.006263,0.985451,1.009984,1.024724,0.980111,0.992794,0.000000,-0.053402,-0.144706,-0.121774,-0.097839,-0.021990,-0.120220,-0.138036,-0.022092,-0.198704,-0.174940,-0.066761,-0.079209,-0.086531,-0.044860,-0.212890,-0.067252,-0.129108,-0.054870,-0.079622
23.000,1.07578,1,7.939e-10,1.060000,1.030000,0.993965,0.954878,1.042000,1.025000,1.037000,1.004088,0.957536,0.946592,0.978627,1.047000,1.021363,1.043000,1.006705,0.986092,1.010510,1.024876,0.980689,0.993361,0.000000,-0.052692,-0.142801,-0.120218,-0.096728,-0.021327,-0.118835,-0.136412,-0.021414,-0.196201,-0.172376,-0.065792,-0.077726,-0.085520,-0.044332,-0.210165,-0.066518,-0.127629,-0.053830,-0.078692
24.000,1.06572,1,3.407e-10,1.060000,1.030000,0.995226,0.955886,1.042000,1.025000,1.037000,1.004930,0.958979,0.948607,0.979225,1.047000,1.022182,1.043000,1.007077,0.986605,1.010925,1.024988,0.981171,0.993833,0.000000,-0.052113,-0.141269,-0.118957,-0.095734,-0.020843,-0.117549,-0.134993,-0.020911,-0.194094,-0.170394,-0.065044,-0.076570,-0.084523,-0.043745,-0.207946,-0.065716,-0.126223,-0.053031,-0.077756
25.000,1.05417,1,6.035e-10,1.060000,1.030000,0.996679,0.957087,1.042000,1.025000,1.037000,1.005846,0.960761,0.950988,0.979937,1.047000,1.023256,1.043000,1.007505,0.987206,1.011419,1.025132,0.981700,0.994375,0.000000,-0.051444,-0.139488,-0.117494,-0.094675,-0.020246,-0.116231,-0.133443,-0.020313,-0.191718,-0.168003,-0.064154,-0.075224,-0.083557,-0.043247,-0.205394,-0.065009,-0.124818,-0.052089,-0.076870
26.000,1.04172,1,7.676e-10,1.060000,1.030000,0.998226,0.958342,1.042000,1.025000,1.037000,1.006853,0.962617,0.953580,0.980666,1.047000,1.024338,1.043000,1.007965,0.987833,1.011933,1.025272,0.982284,0.994962,0.000000,-0.050748,-0.137611,-0.115974,-0.093419,-0.019672,-0.114621,-0.131737,-0.019728,-0.189028,-0.165587,-0.063280,-0.073831,-0.082304,-0.042499,-0.202753,-0.064004,-0.123068,-0.051134,-0.075696
27.000,1.02743,1,1.333e-09,1.060000,1.030000,1.000002,0.959769,1.042000,1.025000,1.037000,1.007991,0.964733,0.956457,0.981524,1.047000,1.025575,1.043000,1.008488,0.988549,1.012503,1.025410,0.982954,0.995624,0.000000,-0.049943,-0.135443,-0.114206,-0.091914,-0.018981,-0.112646,-0.129805,-0.019026,-0.185929,-0.162716,-0.062232,-0.072216,-0.080729,-0.041498,-0.199647,-0.062677,-0.120886,-0.050006,-0.074194
28.000,1.01609,1,5.139e-10,1.060000,1.030000,1.001402,0.960947,1.042000,1.025000,1.037000,1.008883,0.966479,0.958787,0.982187,1.047000,1.026620,1.043000,1.008896,0.989134,1.012981,1.025540,0.983488,0.996157,0.000000,-0.049290,-0.133726,-0.112768,-0.090806,-0.018431,-0.111243,-0.128284,-0.018476,-0.183528,-0.160473,-0.061374,-0.070938,-0.079661,-0.040878,-0.197137,-0.061853,-0.119370,-0.049108,-0.073198
29.000,1.00505,1,4.532e-10,1.060000,1.030000,1.002759,0.962059,1.042000,1.025000,1.037000,1.009742,0.968154,0.960957,0.982819,1.047000,1.027610,1.043000,1.009288,0.989689,1.013428,1.025658,0.984015,0.996673,0.000000,-0.048656,-0.132059,-0.111372,-0.089709,-0.017901,-0.109827,-0.126815,-0.017942,-0.181228,-0.158322,-0.060534,-0.069698,-0.078560,-0.040209,-0.194679,-0.060966,-0.117826,-0.048233,-0.072165
30.000,0.99696,1,1.163e-10,1.060000,1.030000,1.003724,0.962889,1.042000,1.025000,1.037000,1.010351,0.969332,0.962558,0.983295,1.047000,1.028289,1.043000,1.009579,0.990098,1.013749,1.025744,0.984406,0.997049,0.000000,-0.048197,-0.130860,-0.110352,-0.088903,-0.017484,-0.108790,-0.125772,-0.017519,-0.179533,-0.156681,-0.059901,-0.068765,-0.077752,-0.039719,-0.192884,-0.060307,-0.116698,-0.047561,-0.071406
31.000,0.98243,1,1.294e-09,1.060000,1.030000,1.005491,0.964329,1.042000,1.025000,1.037000,1.011480,0.971489,0.965447,0.984121,1.047000,1.029541,1.043000,1.010101,0.990808,1.014345,1.025905,0.985102,0.997735,0.000000,-0.047388,-0.128692,-0.108581,-0.087469,-0.016809,-0.106958,-0.123838,-0.016834,-0.176495,-0.153873,-0.058872,-0.067155,-0.076339,-0.038881,-0.189803,-0.059191,-0.114713,-0.046432,-0.070087
32.000,0.97073,1,5.648e-10,1.060000,1.030000,1.006929,0.965471,1.042000,1.025000,1.037000,1.012386,0.973241,0.967763,0.984774,1.047000,1.030564,1.043000,1.010531,0.991370,1.014833,1.026040,0.985653,0.998259,0.000000,-0.046725,-0.126926,-0.107150,-0.086470,-0.016262,-0.105757,-0.122280,-0.016283,-0.174209,-0.151629,-0.058037,-0.065863,-0.075518,-0.038534,-0.187323,-0.058629,-0.113449,-0.045525,-0.069337
33.000,0.96786,1,1.807e-12,1.060000,1.030000,1.007272,0.965733,1.042000,1.025000,1.037000,1.012619,0.973642,0.968305,0.984926,1.047000,1.030792,1.043000,1.010628,0.991501,1.014946,1.026074,0.985785,0.998393,0.000000,-0.046567,-0.126509,-0.106812,-0.086212,-0.016147,-0.105433,-0.121881,-0.016164,-0.173649,-0.151118,-0.057850,-0.065569,-0.075279,-0.038400,-0.186734,-0.058446,-0.113107,-0.045323,-0.069119
34.000,0.95721,1,3.604e-10,1.060000,1.030000,1.008557,0.966784,1.042000,1.025000,1.037000,1.013452,0.975109,0.970331,0.985540,1.047000,1.031607,1.043000,1.011009,0.992018,1.015365,1.026177,0.986272,0.998887,0.000000,-0.045965,-0.124922,-0.105489,-0.085136,-0.015645,-0.104034,-0.120445,-0.015646,-0.171447,-0.149015,-0.057069,-0.064397,-0.074186,-0.037728,-0.184413,-0.057542,-0.111572,-0.044503,-0.068085
35.000,0.94735,1,2.302e-10,1.060000,1.030000,1.009697,0.967773,1.042000,1.025000,1.037000,1.014220,0.976619,0.972193,0.986082,1.047000,1.032537,1.043000,1.011362,0.992499,1.015764,1.026279,0.986734,0.999347,0.000000,-0.045417,-0.123516,-0.104282,-0.084171,-0.015220,-0.102791,-0.119121,-0.015235,-0.169445,-0.147168,-0.056378,-0.063395,-0.073223,-0.037153,-0.182318,-0.056776,-0.110217,-0.043777,-0.067181
36.000,0.93781,1,2.111e-10,1.060000,1.030000,1.010821,0.968710,1.042000,1.025000,1.037000,1.014933,0.978019,0.974030,0.986619,1.047000,1.033348,1.043000,1.011705,0.992957,1.016157,1.026386,0.987180,0.999787,0.000000,-0.044876,-0.122114,-0.103093,-0.083305,-0.014754,-0.101718,-0.117886,-0.014766,-0.167556,-0.145291,-0.055654,-0.062335,-0.072441,-0.036750,-0.180232,-0.056202,-0.109072,-0.043019,-0.066461
37.000,0.92040,1,2.243e-09,1.060000,1.030000,1.012852,0.970385,1.042000,1.025000,1.037000,1.016261,0.980484,0.977348,0.987577,1.047000,1.034734,1.043000,1.012328,0.993777,1.016840,1.026549,0.987996,1.000586,0.000000,-0.043909,-0.119595,-0.100960,-0.081547,-0.013965,-0.099446,-0.115582,-0.013958,-0.163949,-0.141968,-0.054397,-0.060454,-0.070669,-0.035665,-0.176483,-0.054746,-0.106582,-0.041695,-0.064781
38.000,0.91047,1,2.440e-10,1.060000,1.030000,1.014021,0.971345,1.042000,1.025000,1.037000,1.016986,0.981906,0.979243,0.988112,1.047000,1.035533,1.043000,1.012684,0.994240,1.017224,1.026653,0.988449,1.001050,0.000000,-0.043364,-0.118146,-0.099763,-0.080584,-0.013517,-0.098223,-0.114321,-0.013500,-0.161929,-0.140100,-0.053700,-0.059381,-0.069731,-0.035120,-0.174401,-0.053990,-0.105264,-0.040952,-0.063908
39.000,0.89404,1,1.725e-09,1.060000,1.030000,1.015924,0.972922,1.042000,1.025000,1.037000,1.018211,0.984232,0.982367,0.989016,1.047000,1.036839,1.043000,1.013273,0.995004,1.017880,1.026819,0.989204,1.001803,0.000000,-0.042447,-0.115767,-0.097743,-0.079023,-0.012749,-0.096257,-0.112184,-0.012718,-0.158623,-0.136917,-0.052492,-0.057594,-0.068260,-0.034300,-0.170855,-0.052846,-0.103144,-0.039690,-0.062533
40.000,0.89153,1,8.304e-13,1.060000,1.030000,1.016206,0.973164,1.042000,1.025000,1.037000,1.018384,0.984599,0.982866,0.989148,1.047000,1.037067,1.043000,1.013355,0.995120,1.017990,1.026853,0.989330,1.001921,0.000000,-0.042307,-0.115412,-0.097435,-0.078812,-0.012628,-0.096011,-0.111881,-0.012602,-0.158134,-0.136443,-0.052301,-0.057339,-0.068092,-0.034221,-0.170315,-0.052746,-0.102893,-0.039487,-0.062386
