t_sec,lambda,pf_converged,pf_max_mismatch,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,Vang_rad1,Vang_rad2,Vang_rad3,Vang_rad4,Vang_rad5,Vang_rad6,Vang_rad7,Vang_rad8,Vang_rad9,Vang_rad10,Vang_rad11,Vang_rad12,Vang_rad13,Vang_rad14,Vang_rad15,Vang_rad16,Vang_rad17,Vang_rad18,Vang_rad19,Vang_rad20
50.000,0.88205,1,1.243e-14,1.060000,1.030000,1.017371,0.974189,1.042000,1.025000,1.037000,1.019162,0.985885,0.984701,0.989671,1.047000,1.037782,1.043000,1.013710,0.995593,1.018382,1.026959,0.989770,1.002356,0.000000,-0.041775,-0.113984,-0.096300,-0.077996,-0.012248,-0.095038,-0.110524,-0.012212,-0.156293,-0.134657,-0.051743,-0.056392,-0.067443,-0.033965,-0.168461,-0.052301,-0.101876,-0.038818,-0.061795
51.000,0.89159,1,1.851e-10,1.060000,1.030000,1.016278,0.973270,1.042000,1.025000,1.037000,1.018437,0.984526,0.982851,0.989151,1.047000,1.036991,1.043000,1.013369,0.995150,1.018003,1.026864,0.989327,1.001914,0.000000,-0.042305,-0.115347,-0.097465,-0.078932,-0.012667,-0.096218,-0.111791,-0.012630,-0.158262,-0.136474,-0.052417,-0.057368,-0.068339,-0.034485,-0.170494,-0.053011,-0.103150,-0.039527,-0.062634
52.000,0.89908,1,7.813e-11,1.060000,1.030000,1.015397,0.972553,1.042000,1.025000,1.037000,1.017894,0.983476,0.981411,0.988743,1.047000,1.036389,1.043000,1.013098,0.994805,1.017701,1.026785,0.988990,1.001563,0.000000,-0.042715,-0.116443,-0.098366,-0.079659,-0.013006,-0.097135,-0.112740,-0.012971,-0.159794,-0.137904,-0.052942,-0.058150,-0.069035,-0.034881,-0.172063,-0.053553,-0.104139,-0.040087,-0.063283
53.000,0.90643,1,7.156e-11,1.060000,1.030000,1.014535,0.971845,1.042000,1.025000,1.037000,1.017337,0.982410,0.980045,0.988346,1.047000,1.035764,1.043000,1.012842,0.994461,1.017417,1.026724,0.988653,1.001239,0.000000,-0.043129,-0.117512,-0.099277,-0.080388,-0.013329,-0.098075,-0.113711,-0.013292,-0.161285,-0.139287,-0.053474,-0.058909,-0.069757,-0.035321,-0.173663,-0.054147,-0.105172,-0.040630,-0.063973
54.000,0.91997,1,8.015e-10,1.060000,1.030000,1.012958,0.970513,1.042000,1.025000,1.037000,1.016329,0.980468,0.977531,0.987597,1.047000,1.034647,1.043000,1.012347,0.993823,1.016888,1.026591,0.988020,1.000612,0.000000,-0.043870,-0.119471,-0.100905,-0.081702,-0.013945,-0.099760,-0.115465,-0.013912,-0.164002,-0.141896,-0.054415,-0.060347,-0.071050,-0.036067,-0.176481,-0.055190,-0.107005,-0.041660,-0.065187
55.000,0.93558,1,1.664e-09,1.060000,1.030000,1.011066,0.968978,1.042000,1.025000,1.037000,1.015148,0.978201,0.974469,0.986732,1.047000,1.033343,1.043000,1.011787,0.993077,1.016249,1.026419,0.987307,0.999884,0.000000,-0.044754,-0.121811,-0.102835,-0.083173,-0.014662,-0.101593,-0.117516,-0.014637,-0.167179,-0.144901,-0.055539,-0.062031,-0.072403,-0.036802,-0.179838,-0.056216,-0.108965,-0.042844,-0.066440
56.000,0.95094,1,1.480e-09,1.060000,1.030000,1.009230,0.967479,1.042000,1.025000,1.037000,1.013972,0.976015,0.971530,0.985862,1.047000,1.032105,1.043000,1.011227,0.992347,1.015641,1.026268,0.986585,0.999183,0.000000,-0.045607,-0.124082,-0.104703,-0.084660,-0.015379,-0.103487,-0.119550,-0.015368,-0.170303,-0.147905,-0.056629,-0.063711,-0.073839,-0.037621,-0.183089,-0.057366,-0.111025,-0.044032,-0.067793
57.000,0.95933,1,1.089e-10,1.060000,1.030000,1.008276,0.966637,1.042000,1.025000,1.037000,1.013336,0.974824,0.969918,0.985390,1.047000,1.031447,1.043000,1.010924,0.991940,1.015315,1.026186,0.986192,0.998783,0.000000,-0.046058,-0.125265,-0.105709,-0.085552,-0.015762,-0.104662,-0.120646,-0.015765,-0.172092,-0.149523,-0.057214,-0.064641,-0.074796,-0.038243,-0.184837,-0.058175,-0.112320,-0.044672,-0.068697
58.000,0.97058,1,4.434e-10,1.060000,1.030000,1.006920,0.965519,1.042000,1.025000,1.037000,1.012470,0.973213,0.967741,0.984753,1.047000,1.030519,1.043000,1.010516,0.991394,1.014853,1.026057,0.985660,0.998261,0.000000,-0.046690,-0.126939,-0.107086,-0.086574,-0.016293,-0.105933,-0.122138,-0.016303,-0.174325,-0.151715,-0.058018,-0.065869,-0.075723,-0.038722,-0.187221,-0.058865,-0.113675,-0.045550,-0.069551
59.000,0.98476,1,1.089e-09,1.060000,1.030000,1.005222,0.964097,1.042000,1.025000,1.037000,1.011356,0.971159,0.964967,0.983951,1.047000,1.029351,1.043000,1.010002,0.990698,1.014266,1.025902,0.984995,0.997610,0.000000,-0.047487,-0.129030,-0.108828,-0.087901,-0.016950,-0.107601,-0.124051,-0.016977,-0.177194,-0.154454,-0.059032,-0.067440,-0.076961,-0.039394,-0.190243,-0.059803,-0.115473,-0.046642,-0.070704
60.000,1.00148,1,2.330e-09,1.060000,1.030000,1.003170,0.962416,1.042000,1.025000,1.037000,1.010062,0.968678,0.961681,0.982992,1.047000,1.027903,1.043000,1.009396,0.989869,1.013578,1.025720,0.984201,0.996834,0.000000,-0.048435,-0.131552,-0.110903,-0.089504,-0.017750,-0.109635,-0.126269,-0.017785,-0.180621,-0.157727,-0.060259,-0.069306,-0.078499,-0.040265,-0.193860,-0.060999,-0.117674,-0.047960,-0.072140
