t_sec,kind,file,mode,style,factor,type,loc1,loc2,sigma,clean_value,bad_value,error,error_sigmas,pos
22.000,pmu,pmu/pmu_t00022_00.dat,transient,scale,17.107121371905855,Iang,5,7,0.00034,-0.06525,-1.116239669516857,-1.050989669516857,-3091.146086814285,32
23.000,pmu,pmu/pmu_t00023_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.18553,1.18553,2.37106,12816.54054054054,34
24.000,pmu,pmu/pmu_t00024_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.18332,1.18332,2.36664,12792.648648648648,34
25.000,pmu,pmu/pmu_t00025_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.18121,1.18121,2.36242,12769.837837837838,34
25.000,pmu,pmu/pmu_t00025_00.dat,transient,scale,-14.68777630292044,Vang,20,,0.000166,-0.07665,1.1258180536188518,1.2024680536188517,7243.783455535251,13
25.000,scada,scada/scada_t00025_00.dat,persistent,scale,17.167546295960953,Qinj,18,,0.023375,0.94596,16.239812094127224,15.293852094127224,654.282442529507,57
26.000,pmu,pmu/pmu_t00026_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.17854,1.17854,2.35708,12740.972972972972,34
27.000,pmu,pmu/pmu_t00027_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.17528,1.17528,2.35056,12705.729729729732,34
27.000,pmu,pmu/pmu_t00027_00.dat,transient,negate,-1.0,Imag,5,7,0.000347,0.21117,-0.21117,-0.42234,-1217.1181556195966,17
28.000,pmu,pmu/pmu_t00028_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.17303,1.17303,2.34606,12681.405405405405,34
29.000,pmu,pmu/pmu_t00029_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.1708,1.1708,2.3416,12657.297297297298,34
29.000,pmu,pmu/pmu_t00029_00.dat,transient,scale,13.886593237297314,Vmag,17,,0.000177,1.01345,14.073367916338961,13.05991791633896,73784.84698496589,5
30.000,pmu,pmu/pmu_t00030_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.16884,1.16884,2.33768,12636.10810810811,34
30.000,scada,scada/scada_t00030_00.dat,persistent,scale,17.167546295960953,Qinj,18,,0.023375,0.8802,15.11087424970483,14.23067424970483,608.7988983830943,57
31.000,pmu,pmu/pmu_t00031_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.16563,1.16563,2.33126,12601.405405405405,34
32.000,pmu,pmu/pmu_t00032_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.16355,1.16355,2.3271,12578.91891891892,34
33.000,pmu,pmu/pmu_t00033_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.16326,1.16326,2.32652,12575.783783783783,34
33.000,pmu,pmu/pmu_t00033_00.dat,transient,negate,-1.0,Iang,5,1,0.00026,2.38498,-2.38498,-4.76996,-18346.000000000004,31
34.000,pmu,pmu/pmu_t00034_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.16123,1.16123,2.32246,12553.837837837838,34
34.000,pmu,pmu/pmu_t00034_00.dat,transient,scale,27.388968530392887,Imag,2,4,0.000376,1.41122,38.651860169461045,37.240640169461045,99044.2557698432,15
35.000,pmu,pmu/pmu_t00035_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.15887,1.15887,2.31774,12528.324324324325,34
35.000,pmu,pmu/pmu_t00035_00.dat,transient,negate,-1.0,Vang,14,,8e-05,-0.07328,0.07328,0.14656,1831.9999999999998,11
35.000,scada,scada/scada_t00035_00.dat,persistent,scale,17.167546295960953,Qinj,18,,0.023375,0.81902,14.060563767317939,13.241543767317939,566.4831558210883,57
36.000,pmu,pmu/pmu_t00036_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.1567,1.1567,2.3134,12504.864864864865,34
36.000,pmu,pmu/pmu_t00036_00.dat,transient,scale,16.392699491336792,Vmag,8,,0.000159,1.0148,16.635311443808575,15.620511443808576,98242.21033841872,2
37.000,pmu,pmu/pmu_t00037_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.15306,1.15306,2.30612,12465.513513513513,34
37.000,pmu,pmu/pmu_t00037_00.dat,transient,negate,-1.0,Vang,20,,0.000166,-0.06463,0.06463,0.12926,778.6746987951808,13
38.000,pmu,pmu/pmu_t00038_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.15157,1.15157,2.30314,12449.405405405405,34
39.000,pmu,pmu/pmu_t00039_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.14782,1.14782,2.29564,12408.864864864865,34
40.000,pmu,pmu/pmu_t00040_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.14766,1.14766,2.29532,12407.135135135135,34
40.000,scada,scada/scada_t00040_00.dat,persistent,scale,17.167546295960953,Qinj,18,,0.023375,0.76902,13.202186452519893,12.433166452519893,531.9001690917602,57
41.000,pmu,pmu/pmu_t00041_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.14823,1.14823,2.29646,12413.297297297298,34
41.000,pmu,pmu/pmu_t00041_00.dat,transient,scale,29.668855491099375,Imag,2,1,0.000411,0.35941,10.663283352056027,10.303873352056026,25070.251464856512,14
42.000,pmu,pmu/pmu_t00042_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.14637,1.14637,2.29274,12393.189189189188,34
42.000,pmu,pmu/pmu_t00042_00.dat,transient,negate,-1.0,Imag,2,4,0.000376,1.30817,-1.30817,-2.61634,-6958.351063829788,15
43.000,pmu,pmu/pmu_t00043_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.14755,1.14755,2.2951,12405.945945945947,34
43.000,pmu,pmu/pmu_t00043_00.dat,transient,scale,11.868604466366776,Iang,14,7,0.00017,-0.11832,-1.4042932804605168,-1.2859732804605168,-7564.548708591275,36
44.000,pmu,pmu/pmu_t00044_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.14567,1.14567,2.29134,12385.621621621622,34
45.000,pmu,pmu/pmu_t00045_00.dat,persistent,negate,-1.0,Iang,5,10,0.000185,-1.14498,1.14498,2.28996,12378.162162162163,34
